epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.57824,1.97034,3.20561,2.23475,0.00342,0.92857,0.16802,0.05927,1.48663,3.98963,2.2441,0,0,0
2,12.706,1.29175,3.0469,1.80305,0.00341,0.92857,0.25524,0.06716,1.47637,4.00021,2.21141,1.63399e-05,1.63399e-05,1.63399e-05
3,18.8916,1.58917,3.17025,2.04667,0.00341,0.92857,0.28632,0.08581,1.38623,4.02567,2.13553,3.20197e-05,3.20197e-05,3.20197e-05
4,25.0132,1.58772,3.19166,2.03619,0.00339,0.92857,0.30016,0.10212,1.29171,3.98339,2.03416,4.70394e-05,4.70394e-05,4.70394e-05
5,31.8796,1.41849,3.0309,1.69008,0.00339,0.92857,0.37844,0.15777,1.21848,3.92083,1.96572,6.13989e-05,6.13989e-05,6.13989e-05
6,40.8429,1.40371,3.03156,1.56091,0.00338,0.92857,0.39129,0.19259,1.05998,3.87124,1.83644,7.50984e-05,7.50984e-05,7.50984e-05
7,48.465,1.25358,2.8839,1.63627,0.00336,0.92857,0.51157,0.30163,0.98899,3.78144,1.70091,8.81376e-05,8.81376e-05,8.81376e-05
8,55.7171,1.22593,2.90558,1.57808,0.00335,0.92857,0.53427,0.36942,0.98281,3.72992,1.6034,0.000100517,0.000100517,0.000100517
9,62.7182,1.00719,2.7117,1.39048,0.00333,0.92857,0.48137,0.33665,0.90489,3.70936,1.5303,0.000112236,0.000112236,0.000112236
10,69.5184,0.88573,2.62462,1.37144,0.00333,0.92857,0.5545,0.40931,0.84696,3.69598,1.45233,0.000123295,0.000123295,0.000123295
11,76.893,1.01718,2.61861,1.4031,0.00334,0.92857,0.59213,0.45307,0.72142,3.63745,1.34899,0.000133693,0.000133693,0.000133693
12,84.1654,1.08436,2.50926,1.51442,0.00335,0.92857,0.58148,0.46115,0.71526,3.61566,1.32132,0.000143432,0.000143432,0.000143432
13,92.6194,1.12016,2.48234,1.46317,0.00335,0.92857,0.57922,0.44522,0.71712,3.57536,1.30266,0.00015251,0.00015251,0.00015251
14,100.292,1.04228,2.33969,1.4341,0.00336,0.92857,0.57684,0.44898,0.73393,3.50701,1.3298,0.000160929,0.000160929,0.000160929
15,107.67,0.99803,2.26606,1.55237,0.00335,0.92857,0.61395,0.47047,0.69411,3.51031,1.29018,0.000168687,0.000168687,0.000168687
16,116.706,1.01993,2.09611,1.44314,0.00336,0.92857,0.60728,0.50845,0.63456,3.45107,1.22997,0.000175785,0.000175785,0.000175785
17,124.788,0.91921,1.98609,1.32161,0.00338,0.92857,0.57849,0.49061,0.63671,3.42314,1.23389,0.000182223,0.000182223,0.000182223
18,132.337,0.87855,2.03213,1.45084,0.00338,0.92857,0.57849,0.49061,0.63671,3.42314,1.23389,0.000188001,0.000188001,0.000188001
19,140.049,0.86296,2.01054,1.29647,0.00339,0.92857,0.64778,0.49987,0.61964,3.39225,1.21289,0.000193119,0.000193119,0.000193119
20,146.607,0.92817,1.99114,1.46731,0.00339,0.92857,0.64778,0.49987,0.61964,3.39225,1.21289,0.000197576,0.000197576,0.000197576
21,153.29,1.0463,2.0776,1.40048,0.0034,0.92857,0.64963,0.49852,0.61746,3.3203,1.18839,0.000201374,0.000201374,0.000201374
22,161.027,0.79279,1.81812,1.29415,0.0034,0.92857,0.64963,0.49852,0.61746,3.3203,1.18839,0.000204511,0.000204511,0.000204511
23,168.139,0.84328,1.99069,1.30736,0.00341,0.92857,0.66376,0.52155,0.63835,3.345,1.16978,0.000206988,0.000206988,0.000206988
24,177.492,0.86259,1.69725,1.32203,0.00341,0.92857,0.66376,0.52155,0.63835,3.345,1.16978,0.000208805,0.000208805,0.000208805
25,187.239,0.88451,1.65085,1.30756,0.00344,0.92857,0.65928,0.48778,0.73311,3.39612,1.23124,0.000209962,0.000209962,0.000209962
26,196.939,0.93304,1.83917,1.46147,0.00344,0.92857,0.65928,0.48778,0.73311,3.39612,1.23124,0.000210459,0.000210459,0.000210459
27,206.948,0.84031,1.68715,1.29863,0.00344,0.92857,0.66986,0.46054,0.77572,3.40908,1.29707,0.000210295,0.000210295,0.000210295
28,216.635,0.81591,1.59007,1.22514,0.00344,0.92857,0.66986,0.46054,0.77572,3.40908,1.29707,0.000209472,0.000209472,0.000209472
29,227,0.80131,1.5446,1.21278,0.00342,0.92857,0.65619,0.4482,0.82477,3.39047,1.37708,0.000207988,0.000207988,0.000207988
30,236.483,0.66141,1.37134,1.17127,0.00342,0.92857,0.65619,0.4482,0.82477,3.39047,1.37708,0.000205844,0.000205844,0.000205844
31,246.227,0.6984,1.55208,1.23416,0.00339,0.92857,0.72539,0.51961,0.85861,3.33225,1.42846,0.000203041,0.000203041,0.000203041
32,256.027,0.65876,1.46761,1.13393,0.00339,0.92857,0.72539,0.51961,0.85861,3.33225,1.42846,0.000199577,0.000199577,0.000199577
