epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3119,1.91053,3.51686,2.36783,0.0034,0.92857,0.26814,0.07053,1.48139,4.02978,2.22995,1.667e-05,1.667e-05,1.667e-05
2,19.6669,1.29756,3.06053,1.60662,0.00339,0.92857,0.26531,0.10429,1.42168,3.97406,2.08842,4.90198e-05,4.90198e-05,4.90198e-05
3,28.077,1.59145,3.66954,1.93996,0.00336,0.92857,0.29272,0.13604,1.17373,3.85257,1.89552,8.00493e-05,8.00493e-05,8.00493e-05
4,37.4974,1.13066,3.97735,1.64897,0.00334,0.92857,0.40628,0.22272,0.92342,3.80317,1.65628,0.000109759,0.000109759,0.000109759
5,46.4361,1.50271,3.4562,2.55631,0.00334,0.92857,0.53345,0.39943,0.89441,3.72286,1.55121,0.000138148,0.000138148,0.000138148
6,55.6625,0.57811,5.4412,0.75247,0.00333,0.92857,0.57024,0.39361,0.85706,3.68789,1.5092,0.000165216,0.000165216,0.000165216
7,64.2407,1.03245,2.75054,1.24481,0.00333,0.92857,0.50553,0.35472,0.80859,3.62593,1.4334,0.000190965,0.000190965,0.000190965
8,72.4746,0.81631,2.66923,1.27853,0.00333,0.92857,0.58016,0.4169,0.90779,3.60549,1.47603,0.000215393,0.000215393,0.000215393
9,80.3955,0.92954,2.45886,1.39564,0.00333,0.92857,0.56896,0.3738,1.01733,3.58128,1.58085,0.000238501,0.000238501,0.000238501
10,88.4791,0.48177,5.39636,0.65045,0.00333,0.92857,0.58461,0.34036,1.00493,3.53054,1.56356,0.000260289,0.000260289,0.000260289
11,96.6211,0.85704,2.40909,1.23861,0.00333,0.92857,0.54148,0.34617,0.87625,3.4892,1.45469,0.000280756,0.000280756,0.000280756
12,104.702,1.01267,2.71324,1.40976,0.00335,0.92857,0.58879,0.4245,0.71023,3.40435,1.35477,0.000299903,0.000299903,0.000299903
13,112.666,0.7326,1.98898,1.19929,0.00337,0.92857,0.64225,0.39822,0.67422,3.40775,1.2465,0.00031773,0.00031773,0.00031773
14,124.755,0.98937,2.09128,1.30711,0.00338,0.92857,0.69899,0.47419,0.6872,3.39564,1.28348,0.000334237,0.000334237,0.000334237
15,133.193,0.79126,2.3918,1.34498,0.00338,0.92857,0.77557,0.56269,0.63983,3.36637,1.26012,0.000349423,0.000349423,0.000349423
16,142.377,1.11516,1.93059,1.29322,0.00344,0.92857,0.78086,0.59849,0.61907,3.26999,1.23773,0.000363289,0.000363289,0.000363289
17,150.9,1.09456,2.29263,1.45414,0.00353,0.92857,0.78844,0.62049,0.68051,3.19041,1.27923,0.000375835,0.000375835,0.000375835
18,160.436,0.98168,1.87313,1.41877,0.97359,0.4,0.89093,0.66945,0.71874,3.13673,1.31187,0.000387061,0.000387061,0.000387061
19,170.097,0.987,1.91064,1.40166,0.97115,0.4463,0.87427,0.64664,0.76697,3.05068,1.43082,0.000396966,0.000396966,0.000396966
20,179.607,1.32374,2.52893,1.43686,1,0.27518,0.87928,0.6893,0.78894,2.94584,1.39242,0.000405551,0.000405551,0.000405551
21,188.907,1.22569,2.35795,1.654,1,0.32289,0.90845,0.73548,0.73884,2.95599,1.34757,0.000412816,0.000412816,0.000412816
22,197.536,0.67269,1.39077,1.18517,0.94852,0.72305,0.8918,0.6971,0.71632,2.96697,1.38144,0.00041876,0.00041876,0.00041876
23,206.844,0.48344,6.28115,0.79459,0.94043,0.83911,0.91514,0.69981,0.73865,3.01455,1.38936,0.000423385,0.000423385,0.000423385
24,216.669,0.62898,1.72594,1.14,0.90991,0.53647,0.8518,0.64535,0.77969,3.0085,1.43568,0.000426689,0.000426689,0.000426689
25,226.79,1.25823,1.96276,1.45093,0.82785,0.57697,0.88314,0.68852,0.82545,2.87806,1.67004,0.000428672,0.000428672,0.000428672
26,238.568,0.99706,1.73547,1.45427,0.75165,0.63424,0.82482,0.61607,0.93282,2.74034,1.964,0.000429336,0.000429336,0.000429336
27,248.783,0.93563,1.85114,1.47525,0.75204,0.64133,0.82115,0.5811,1.005,2.68645,1.94944,0.000428679,0.000428679,0.000428679
28,257.786,0.84723,2.03371,0.98579,0.75204,0.64133,0.82115,0.5811,1.005,2.68645,1.94944,0.000426702,0.000426702,0.000426702
29,267.895,0.65429,1.59227,1.19354,0.81897,0.8452,0.85456,0.60711,1.00438,2.58317,1.95831,0.000423405,0.000423405,0.000423405
30,277.478,0.68949,1.75609,1.1655,0.99081,0.78293,0.89713,0.60487,1.02091,2.72924,1.7621,0.000418787,0.000418787,0.000418787
31,288.511,0.75045,1.63677,1.24176,0.99081,0.78293,0.89713,0.60487,1.02091,2.72924,1.7621,0.000412849,0.000412849,0.000412849
32,301.03,0.68412,1.25662,1.00014,1,0.70944,0.90762,0.58817,0.97485,2.7426,1.73681,0.000405591,0.000405591,0.000405591
33,314.287,0.67377,2.0146,1.23435,0.90467,0.59662,0.90512,0.6261,1.07535,2.67172,1.89999,0.000397013,0.000397013,0.000397013
34,326.989,0.92761,1.73364,1.21498,0.90467,0.59662,0.90512,0.6261,1.07535,2.67172,1.89999,0.000387114,0.000387114,0.000387114
35,339.529,0.84199,1.56577,1.13488,0.92253,0.69125,0.91513,0.6549,1.04913,2.63154,1.85273,0.000375895,0.000375895,0.000375895
36,351.864,0.77583,1.4841,1.25738,0.89593,0.76778,0.9018,0.70078,0.79675,2.65631,1.45987,0.000363356,0.000363356,0.000363356
37,364.667,0.99426,2.36169,1.62411,0.89593,0.76778,0.9018,0.70078,0.79675,2.65631,1.45987,0.000349497,0.000349497,0.000349497
38,374.358,0.66319,1.68762,1.1487,0.9613,0.84811,0.91513,0.766,0.71991,2.47534,1.41415,0.000334317,0.000334317,0.000334317
39,384.465,0.66105,1.57464,1.18653,0.96256,0.85015,0.92513,0.79591,0.66484,2.30105,1.31708,0.000317817,0.000317817,0.000317817
40,395.974,0.86589,1.92553,1.11014,0.96256,0.85015,0.92513,0.79591,0.66484,2.30105,1.31708,0.000299997,0.000299997,0.000299997
41,407.6,0.72381,3.08869,1.40778,0.89064,0.84877,0.92513,0.80339,0.64361,2.25153,1.27194,0.000280856,0.000280856,0.000280856
42,416.907,0.58741,2.83668,1.3986,0.86727,0.92857,0.92513,0.79371,0.62199,2.25611,1.22005,0.000260395,0.000260395,0.000260395
43,426.781,0.61326,2.29293,1.13462,0.86727,0.92857,0.92513,0.79371,0.62199,2.25611,1.22005,0.000238614,0.000238614,0.000238614
44,436.184,0.72595,2.74977,1.06053,0.92556,0.92134,0.92513,0.78886,0.57797,2.21221,1.1611,0.000215513,0.000215513,0.000215513
45,445.627,0.89465,2.37427,1.1129,0.92556,0.92134,0.92513,0.78886,0.57797,2.21221,1.1611,0.000191092,0.000191092,0.000191092
46,455.253,0.83197,2.86081,1.71113,0.92823,0.9176,0.92513,0.78986,0.55755,2.16477,1.13587,0.00016535,0.00016535,0.00016535
47,464.456,0.22651,5.26949,0.5709,0.92823,0.9176,0.92513,0.78986,0.55755,2.16477,1.13587,0.000138288,0.000138288,0.000138288
48,473.625,0.26179,7.08637,0.47064,0.92858,0.92857,0.92512,0.82557,0.54719,2.17681,1.13474,0.000109905,0.000109905,0.000109905
49,482.473,0.24066,5.56626,0.56034,0.92858,0.92857,0.92512,0.82557,0.54719,2.17681,1.13474,8.02027e-05,8.02027e-05,8.02027e-05
50,491.5,0.25893,5.4247,0.55953,0.94205,0.92857,0.92512,0.83955,0.52842,2.10093,1.11361,4.91798e-05,4.91798e-05,4.91798e-05
